key,fr,en
cutscene_ermit2_1,"[center][color=red]Mon ami, bien que je ne comprends pas ce que tu essaies de faire, c'était un plaisir de voir un visage pour une dernière fo̵̫̟͌ḭ̷͖̚s̴̡͚̾  .̴̪͖̉̋ ̴̰̬̑̏â̸̼̥a̸̖͖͂̎a̴̯̋A̷̤̳̓͘A̶̡̔͂A̴̛̮͇͑ ̸̛̳Ä̸̮́̊ ̵͌͜À̴̹̤Ắ̶̩A̵̤̓̌A̶͈̳͋ ̶̻̀͝Ą̵͝A̵̰̽A̷̲̽ ̶̲̎͌ ̴͇͈̆A̶͔͕̽̇A̵̗̼̐Ȃ̶͎͗A̶͓̎́͜ ̴̦͋Ā̷͖̳Ȁ̶̤̑ ̴͕̞̀ ̷͖͖̋Á̴̤ͅÄ̸̦́̓Ă̴̠ ̴̢̰̈́A̵͚͓̒́","[center][color=red]My friend, I don't understand what you are doing, but it was a pleasure to see a face for a very last ti̶̼̅ḿ̴̳e̶̛̲.̴̹̌ ̷̡̌a̴̰͝a̷̳̒a̷̫͆Ã̵͖Ḁ̶̄A̴̭̓ ̷̮̃A̶̺͝ ̷̣̋A̸̤͛A̵̮͆Ă̶̤A̸̳̚ ̸̳̐A̵̘̿A̸͈͌Ḁ̴͂ ̵̙͑ ̸̻̑A̵̛͇A̷͖̚A̵̺͗A̷̘͝ ̴̬̎A̷͓͐Ä̶̻ ̷͓͛ ̷̲́A̵̗̚A̴̫̓A̸̟͊ ̵̦̚A̵̼͝"
,,
cutscene_witch_1,"[center]Nyehehehe... Bienvenue à mon supermarché en haut de la montagne ! Es-tu venu faire tes dernières courses avant--","[center]Nyehehehe... Welcome to the store of the mountain top! Did you came do your last shopping before--"
cutscene_witch_2,"[center]Oh et puis zut, à quoi bon, je sais que tu est venu juste pour te réfugier.","[center]Oh, what the heck, what's the point, I know you only came to take refuge."
cutscene_witch_3,"[center]Exact !",[center]Exact!
cutscene_witch_4,"[center]Bon, eh bien, on devrait se dépêcher alors, les [color=red]ténèbres[/color] sont très proches.","[center]Welp, we need to hurry then, the [color=red]darkness[/color] is coming."
cutscene_witch_5,"[center]Allons vite au point le plus haut ! Suis moi !","[center]Let's quickly go to the highest point! Follow me!"
cutscene_witch_6,[center][magie],[center][magic]
,,
cutscene_end_1,[center]...,[center]...
cutscene_end_2,[center]...,[center]...
cutscene_end_3,"[center]Bon, eh bien, j'ai escaladé la montagne avant qu'il fasse [color=red]sombre.","[center]Well, I climbed to the top of the mountain before it got [color=red]dark."
,,
title_play,Jouer,Play
title_settings,Options,Settings
,,
settings_musicvolume,Volume,Volume
settings_screentype,"Mode d'écran","Screen mode"
settings_screen_windowed,Fenêtré,Windowed
settings_screen_fullscreen,"Plein écran",Fullscreen
settings_language,Langue,Language
settings_language_french,Français,French
settings_language_english,Anglais,English
settings_back,Retour,Back
